fold_id,horizon,train_start,train_end,test_start,test_end,mae,rmse,mase,bias,model_name,fit_success,fallback_triggered,fallback_reason,exception_type,warning_count,n_train,n_exog,condition_number,model_runtime_seconds,selected_spec,used_exog_columns
7,30,2019-01-01,2024-11-20,2024-11-21,2024-12-20,244.16666666666666,286.98565585524767,1.8823518130976438,242.76666666666668,seasonal_naive_7,,,,,,,,,,,
7,30,2019-01-01,2024-11-20,2024-11-21,2024-12-20,336.1,379.7439049324338,2.591092604977958,336.1,seasonal_naive_30,,,,,,,,,,,
7,30,2019-01-01,2024-11-20,2024-11-21,2024-12-20,239.89324782541286,271.0847936527692,1.8494067849585596,234.77432484279402,ets,,,,,,,,,,,
7,30,2019-01-01,2024-11-20,2024-11-21,2024-12-20,140.62308415953302,180.7215181221262,1.0841042352126125,130.32007356697278,sarimax_dynamic,True,False,,,0.0,1095.0,8.0,5.367023603262,1.078552957973443,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3
7,30,2019-01-01,2024-11-20,2024-11-21,2024-12-20,112.14755350748698,148.5720008062722,0.8645780915192484,88.90230204264323,fourier_dynamic_regression,,,,,,,,,,,
7,30,2019-01-01,2024-11-20,2024-11-21,2024-12-20,112.14302431076867,151.16633759352393,0.8645431746250999,55.2581192618264,tree_boosting_fallback,,,,,,,,,,,
8,30,2019-01-01,2024-11-27,2024-11-28,2024-12-27,163.5,213.54195528435778,1.2601889807794293,150.5,naive,,,,,,,,,,,
8,30,2019-01-01,2024-11-27,2024-11-28,2024-12-27,235.76666666666668,289.810570315623,1.8171899410913157,200.56666666666666,seasonal_naive_7,,,,,,,,,,,
8,30,2019-01-01,2024-11-27,2024-11-28,2024-12-27,350.8666666666667,398.58039757787054,2.7043321532485773,350.8666666666667,seasonal_naive_30,,,,,,,,,,,
8,30,2019-01-01,2024-11-27,2024-11-28,2024-12-27,200.24783273304078,251.30043250803664,1.5434257629060568,194.263060344194,ets,,,,,,,,,,,
8,30,2019-01-01,2024-11-27,2024-11-28,2024-12-27,153.1617379125878,200.3533096742452,1.180506020761285,128.51169335182675,sarimax_dynamic,True,False,,,0.0,1095.0,8.0,5.435275049231814,2.593969499983359,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3
8,30,2019-01-01,2024-11-27,2024-11-28,2024-12-27,175.14104410807292,225.9415523622855,1.3499132346617582,166.85198160807292,fourier_dynamic_regression,,,,,,,,,,,
8,30,2019-01-01,2024-11-27,2024-11-28,2024-12-27,177.50383485229491,228.64959679913161,1.3681246282994108,169.54319693614642,tree_boosting_fallback,,,,,,,,,,,
